Unnamed: 0,0,1,0,wiI7pd
297,"{'label': 'POSITIVE', 'score': 0.977656900882721}","{'label': 'POSITIVE', 'score': 0.950011670589447}",298.0,2 years ago
298,"{'label': 'POSITIVE', 'score': 0.9495501518249512}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",299.0,a year ago
299,"{'label': 'POSITIVE', 'score': 0.9839645624160767}","{'label': 'POSITIVE', 'score': 0.950011670589447}",300.0,a year ago
300,"{'label': 'POSITIVE', 'score': 0.9785555601119995}","{'label': 'POSITIVE', 'score': 0.950011670589447}",301.0,a month ago
301,"{'label': 'POSITIVE', 'score': 0.9685200452804565}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",302.0,2 years ago
302,"{'label': 'POSITIVE', 'score': 0.9463226199150085}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",303.0,10 months ago
303,"{'label': 'POSITIVE', 'score': 0.9468665719032288}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",304.0,a year ago
304,"{'label': 'NEGATIVE', 'score': 0.7609867453575134}","{'label': 'POSITIVE', 'score': 0.950011670589447}",305.0,a year ago
305,"{'label': 'NEGATIVE', 'score': 0.6310498714447021}","{'label': 'POSITIVE', 'score': 0.950011670589447}",306.0,4 months ago
306,"{'label': 'POSITIVE', 'score': 0.9852225184440613}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",307.0,a year ago
307,"{'label': 'POSITIVE', 'score': 0.7382263541221619}","{'label': 'POSITIVE', 'score': 0.950011670589447}",308.0,a year ago
308,"{'label': 'POSITIVE', 'score': 0.9854879975318909}","{'label': 'POSITIVE', 'score': 0.950011670589447}",309.0,9 months ago
309,"{'label': 'NEGATIVE', 'score': 0.9590597748756409}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",310.0,2 years ago
310,"{'label': 'POSITIVE', 'score': 0.988463819026947}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",311.0,2 years ago
311,"{'label': 'POSITIVE', 'score': 0.9613346457481384}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",312.0,3 years ago
312,"{'label': 'POSITIVE', 'score': 0.9616319537162781}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",313.0,2 years ago
313,"{'label': 'POSITIVE', 'score': 0.9764818549156189}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",314.0,10 months ago
314,"{'label': 'POSITIVE', 'score': 0.941218376159668}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",315.0,3 years ago
315,"{'label': 'POSITIVE', 'score': 0.985514760017395}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",316.0,11 months ago
316,"{'label': 'POSITIVE', 'score': 0.9859867691993713}","{'label': 'POSITIVE', 'score': 0.92964106798172}",317.0,2 years ago
317,"{'label': 'POSITIVE', 'score': 0.7191933393478394}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",318.0,2 years ago
318,"{'label': 'NEGATIVE', 'score': 0.8634939789772034}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",319.0,a year ago
319,"{'label': 'POSITIVE', 'score': 0.9706034064292908}","{'label': 'POSITIVE', 'score': 0.950011670589447}",320.0,a year ago
320,"{'label': 'NEGATIVE', 'score': 0.944707453250885}","{'label': 'POSITIVE', 'score': 0.950011670589447}",321.0,2 years ago
321,"{'label': 'POSITIVE', 'score': 0.9726923704147339}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",322.0,a year ago
322,"{'label': 'POSITIVE', 'score': 0.9687291383743286}","{'label': 'POSITIVE', 'score': 0.950011670589447}",323.0,a year ago
323,"{'label': 'NEGATIVE', 'score': 0.600928783416748}","{'label': 'POSITIVE', 'score': 0.950011670589447}",324.0,2 weeks ago
324,"{'label': 'POSITIVE', 'score': 0.9817032217979431}","{'label': 'NEGATIVE', 'score': 0.9617418050765991}",325.0,a year ago
325,"{'label': 'POSITIVE', 'score': 0.9794767498970032}","{'label': 'POSITIVE', 'score': 0.950011670589447}",326.0,a year ago
326,"{'label': 'POSITIVE', 'score': 0.9873530864715576}","{'label': 'POSITIVE', 'score': 0.950011670589447}",327.0,a year ago
327,"{'label': 'POSITIVE', 'score': 0.985283613204956}","{'label': 'POSITIVE', 'score': 0.950011670589447}",328.0,2 years ago
328,"{'label': 'POSITIVE', 'score': 0.9857109189033508}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",329.0,a year ago
329,"{'label': 'POSITIVE', 'score': 0.9908629655838013}","{'label': 'POSITIVE', 'score': 0.950011670589447}",330.0,a year ago
330,"{'label': 'POSITIVE', 'score': 0.981971800327301}","{'label': 'POSITIVE', 'score': 0.950011670589447}",331.0,2 years ago
331,"{'label': 'POSITIVE', 'score': 0.9845982789993286}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",332.0,2 months ago
332,"{'label': 'POSITIVE', 'score': 0.988949179649353}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",333.0,3 months ago
333,"{'label': 'POSITIVE', 'score': 0.9845245480537415}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",334.0,3 months ago
334,"{'label': 'POSITIVE', 'score': 0.9888927340507507}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",335.0,3 months ago
335,"{'label': 'POSITIVE', 'score': 0.9913607239723206}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",336.0,4 months ago
336,"{'label': 'POSITIVE', 'score': 0.9910761117935181}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",337.0,3 months ago
337,"{'label': 'POSITIVE', 'score': 0.9889679551124573}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",338.0,3 months ago
338,"{'label': 'POSITIVE', 'score': 0.9814527034759521}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",339.0,4 months ago
339,"{'label': 'POSITIVE', 'score': 0.9827053546905518}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",340.0,4 months ago
340,"{'label': 'POSITIVE', 'score': 0.9047396183013916}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",341.0,5 months ago
341,"{'label': 'POSITIVE', 'score': 0.9561924934387207}","{'label': 'NEGATIVE', 'score': 0.9378766417503357}",342.0,6 months ago
342,"{'label': 'NEGATIVE', 'score': 0.9308926463127136}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",343.0,6 months ago
343,"{'label': 'POSITIVE', 'score': 0.9779630303382874}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",344.0,6 months ago
344,"{'label': 'POSITIVE', 'score': 0.9917967319488525}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",345.0,7 months ago
345,"{'label': 'POSITIVE', 'score': 0.9921876192092896}","{'label': 'NEGATIVE', 'score': 0.7481728196144104}",346.0,10 months ago
346,"{'label': 'POSITIVE', 'score': 0.9879598617553711}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",347.0,9 months ago
347,"{'label': 'POSITIVE', 'score': 0.9685811400413513}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",348.0,9 months ago
348,"{'label': 'NEGATIVE', 'score': 0.9103701114654541}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",349.0,10 months ago
349,"{'label': 'POSITIVE', 'score': 0.9775027632713318}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",350.0,10 months ago
350,"{'label': 'POSITIVE', 'score': 0.9821558594703674}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",351.0,11 months ago
351,"{'label': 'POSITIVE', 'score': 0.965946614742279}","{'label': 'POSITIVE', 'score': 0.92964106798172}",352.0,a year ago
352,"{'label': 'POSITIVE', 'score': 0.9761872887611389}","{'label': 'POSITIVE', 'score': 0.950011670589447}",353.0,a year ago
353,"{'label': 'NEGATIVE', 'score': 0.9876651167869568}","{'label': 'POSITIVE', 'score': 0.950011670589447}",354.0,a year ago
354,"{'label': 'POSITIVE', 'score': 0.9821515083312988}","{'label': 'POSITIVE', 'score': 0.950011670589447}",355.0,a year ago
355,"{'label': 'POSITIVE', 'score': 0.9263982772827148}","{'label': 'POSITIVE', 'score': 0.950011670589447}",356.0,a year ago
356,"{'label': 'NEGATIVE', 'score': 0.9589136242866516}","{'label': 'POSITIVE', 'score': 0.950011670589447}",357.0,a year ago
357,"{'label': 'POSITIVE', 'score': 0.9792433381080627}","{'label': 'POSITIVE', 'score': 0.950011670589447}",358.0,a year ago
358,"{'label': 'POSITIVE', 'score': 0.9464808702468872}","{'label': 'POSITIVE', 'score': 0.950011670589447}",359.0,a year ago
359,"{'label': 'POSITIVE', 'score': 0.9819058179855347}","{'label': 'POSITIVE', 'score': 0.950011670589447}",360.0,a year ago
360,"{'label': 'NEGATIVE', 'score': 0.7886677980422974}","{'label': 'POSITIVE', 'score': 0.950011670589447}",361.0,a year ago
361,"{'label': 'POSITIVE', 'score': 0.9835826754570007}","{'label': 'POSITIVE', 'score': 0.950011670589447}",362.0,a year ago
362,"{'label': 'POSITIVE', 'score': 0.9896392822265625}","{'label': 'POSITIVE', 'score': 0.950011670589447}",363.0,a year ago
363,"{'label': 'POSITIVE', 'score': 0.6848956346511841}","{'label': 'POSITIVE', 'score': 0.950011670589447}",364.0,a year ago
364,"{'label': 'POSITIVE', 'score': 0.9907737374305725}","{'label': 'POSITIVE', 'score': 0.950011670589447}",365.0,a year ago
365,"{'label': 'POSITIVE', 'score': 0.994763970375061}","{'label': 'POSITIVE', 'score': 0.950011670589447}",366.0,a year ago
366,"{'label': 'POSITIVE', 'score': 0.9897876977920532}","{'label': 'POSITIVE', 'score': 0.950011670589447}",367.0,a year ago
367,"{'label': 'POSITIVE', 'score': 0.9841012358665466}","{'label': 'POSITIVE', 'score': 0.950011670589447}",368.0,a year ago
368,"{'label': 'NEGATIVE', 'score': 0.8750390410423279}","{'label': 'POSITIVE', 'score': 0.950011670589447}",369.0,a year ago
369,"{'label': 'POSITIVE', 'score': 0.981855571269989}","{'label': 'POSITIVE', 'score': 0.950011670589447}",370.0,2 years ago
370,"{'label': 'POSITIVE', 'score': 0.9262682199478149}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",371.0,2 years ago
371,"{'label': 'POSITIVE', 'score': 0.9851609468460083}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",372.0,2 years ago
372,"{'label': 'POSITIVE', 'score': 0.9872790575027466}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",373.0,2 years ago
373,"{'label': 'POSITIVE', 'score': 0.9801912307739258}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",374.0,2 years ago
374,"{'label': 'POSITIVE', 'score': 0.9868255257606506}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",375.0,2 years ago
375,"{'label': 'POSITIVE', 'score': 0.9825145602226257}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",376.0,3 years ago
376,"{'label': 'POSITIVE', 'score': 0.9859091639518738}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",377.0,a year ago
377,"{'label': 'POSITIVE', 'score': 0.9687415361404419}","{'label': 'POSITIVE', 'score': 0.950011670589447}",378.0,4 months ago
378,"{'label': 'POSITIVE', 'score': 0.9860446453094482}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",379.0,2 years ago
379,"{'label': 'POSITIVE', 'score': 0.9866413474082947}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",380.0,11 months ago
380,"{'label': 'POSITIVE', 'score': 0.9824786186218262}","{'label': 'POSITIVE', 'score': 0.92964106798172}",381.0,4 months ago
381,"{'label': 'NEGATIVE', 'score': 0.9594541192054749}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",382.0,a month ago
382,"{'label': 'POSITIVE', 'score': 0.9865046143531799}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",383.0,2 years ago
383,"{'label': 'POSITIVE', 'score': 0.9567283987998962}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",384.0,a year ago
384,"{'label': 'POSITIVE', 'score': 0.9821719527244568}","{'label': 'POSITIVE', 'score': 0.950011670589447}",385.0,6 months ago
385,"{'label': 'NEGATIVE', 'score': 0.9270793795585632}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",386.0,a year ago
386,"{'label': 'NEGATIVE', 'score': 0.9662105441093445}","{'label': 'POSITIVE', 'score': 0.950011670589447}",387.0,2 months ago
387,"{'label': 'POSITIVE', 'score': 0.9826359748840332}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",388.0,3 years ago
388,"{'label': 'NEGATIVE', 'score': 0.9888400435447693}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",389.0,a year ago
389,"{'label': 'POSITIVE', 'score': 0.962838351726532}","{'label': 'POSITIVE', 'score': 0.950011670589447}",390.0,3 years ago
390,"{'label': 'POSITIVE', 'score': 0.966467559337616}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",391.0,11 months ago
391,"{'label': 'NEGATIVE', 'score': 0.9380397200584412}","{'label': 'POSITIVE', 'score': 0.92964106798172}",392.0,2 months ago
392,"{'label': 'POSITIVE', 'score': 0.9840129613876343}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",393.0,3 years ago
393,"{'label': 'NEGATIVE', 'score': 0.9820895195007324}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",394.0,3 years ago
394,"{'label': 'NEGATIVE', 'score': 0.8272855877876282}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",395.0,2 years ago
395,"{'label': 'NEGATIVE', 'score': 0.5987958908081055}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",396.0,10 months ago
396,"{'label': 'NEGATIVE', 'score': 0.9727185368537903}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",397.0,a year ago
397,"{'label': 'NEGATIVE', 'score': 0.9761921763420105}","{'label': 'POSITIVE', 'score': 0.950011670589447}",398.0,3 years ago
398,"{'label': 'NEGATIVE', 'score': 0.9470753073692322}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",399.0,a year ago
399,"{'label': 'POSITIVE', 'score': 0.6573120951652527}","{'label': 'POSITIVE', 'score': 0.950011670589447}",400.0,a year ago
400,"{'label': 'POSITIVE', 'score': 0.9616380333900452}","{'label': 'POSITIVE', 'score': 0.950011670589447}",401.0,Looks like all new crew... They are not welcoming. Serve cold meat and cold rice. Rush you. Give you half of what you used to get. Forget what you want on your bowl. Used to come here but won't anymore.
401,"{'label': 'POSITIVE', 'score': 0.9748572707176208}","{'label': 'NEGATIVE', 'score': 0.9995020627975464}",402.0,I ordered a veggie bowl and just wanted the included free guacamole on the side. I do this through the app fine. I asked in person and they charged me for the guac and acted really rude when I asked for clarification on why I was being charged for guac on a veggie bowl.
402,"{'label': 'POSITIVE', 'score': 0.9765127897262573}","{'label': 'NEGATIVE', 'score': 0.9994537234306335}",403.0,"Customer Service was TERRIBLE. DO NOT GO HERE. Whoever Is Over the Staff that was there on June 5th @ 6:00 PM. Should do an ENTIRE RESWAP of the staff IMMEDIATELY. That entire staff is going to ruin the revenue coming into your company, i …"
403,"{'label': 'POSITIVE', 'score': 0.9713037014007568}","{'label': 'NEGATIVE', 'score': 0.9995077848434448}",404.0,This chipotle is disgusting. They are sloppy and unsanitary. I had to walk out while the girl was fixing my food because she picked up the corn that fell and put it back in my bowl!!! You will have to see the way they operate to believe it. 🤮🤢 …
404,"{'label': 'NEGATIVE', 'score': 0.9985659718513489}","{'label': 'NEGATIVE', 'score': 0.9995007514953613}",405.0,"The worst branch ever. They gave me an order I think doesn't belong to me, the add-ons were different. Additionally, the portion size wasn’t good enough"
405,"{'label': 'NEGATIVE', 'score': 0.8984325528144836}","{'label': 'NEGATIVE', 'score': 0.9995089769363403}",406.0,"I go to chipotle frequently and this time was the worst ever, no joke. Look at the pictures. We had a party and I ordered 4 entrees for 4 people. Party was over really quick. All 4 spent evening sh**ing themselves. The guacamole colour says it all with over burnt meat."
406,"{'label': 'NEGATIVE', 'score': 0.979607343673706}","{'label': 'NEGATIVE', 'score': 0.9995025396347046}",407.0,"This location did not have many of the ingredients (like beans, white rice, etc) 45 minutes before closing time. It seemed like they closed their kitchen and stopped making food an hour before closing. When telling the employees that they …"
407,"{'label': 'POSITIVE', 'score': 0.8809576034545898}","{'label': 'NEGATIVE', 'score': 0.9995092153549194}",408.0,The people that work there are TERRIBLE. I say avoid this place at ALL cost. Hopefully they shut down soon. All the food is spoiled. They don’t know how to follow directions and it seems the manager don’t care at all. They just need to put a parking lot there at this point. Also don’t transfer none of them to another store.
408,"{'label': 'NEGATIVE', 'score': 0.9820423722267151}","{'label': 'NEGATIVE', 'score': 0.9995085000991821}",409.0,"The location is quite convenient. It is just next to the Grand Station Red Line.  Very nice and bright place, cheerful customer service, tried their chicken burrito and the burrito bowl both tastes great! The corn chip was a blast!"
409,"{'label': 'NEGATIVE', 'score': 0.906386137008667}","{'label': 'POSITIVE', 'score': 0.9989124536514282}",410.0,Reviewing after multiple poor experiences here. Pick up order is always either cold (even though I arrive early) or flat out wrong. Couldn’t get over my “cheese quesadilla” today and had to post
410,"{'label': 'NEGATIVE', 'score': 0.9883344173431396}","{'label': 'NEGATIVE', 'score': 0.9995046854019165}",411.0,"I had the nastiest bowl here. The lettuce was old, beans had so much water. I looked like a soup and the sour cream got mixed with the water. The employees were very rude, SHE SAID SHE COULD’NT DIDNT WANT TO SELL ME A SINGLE TACO."
411,"{'label': 'NEGATIVE', 'score': 0.9744309186935425}","{'label': 'NEGATIVE', 'score': 0.9994980096817017}",412.0,Disgusting. My bowl reaked of rotten ingredients before I opened the bag and sure enough rotten dairy odor and nearly black guac. Clearly no care for their patrons.
412,"{'label': 'POSITIVE', 'score': 0.9779253005981445}","{'label': 'NEGATIVE', 'score': 0.9995013475418091}",413.0,"This location is terrible. They give you anything when you do a pickup order. If you wait in line, they give the smallest portion size, barely any meat and not even a tablespoon of guacamole for the extra $3. Ridiculous!"
413,"{'label': 'POSITIVE', 'score': 0.9746893048286438}","{'label': 'NEGATIVE', 'score': 0.999505877494812}",414.0,I eat Chipotle at several locations mostly on North side and I know what it should taste like as I always get the same meal. This location good was gross and is uneatable. The staff also did not properly close my steak bowl and on the walk …
414,"{'label': 'POSITIVE', 'score': 0.9909042716026306}","{'label': 'NEGATIVE', 'score': 0.9995057582855225}",415.0,Paid for double steak received at best a half portion. Never going back. Chipotle corp didn’t seem to care either. If I could give negative stars I would.
415,"{'label': 'NEGATIVE', 'score': 0.5339592099189758}","{'label': 'NEGATIVE', 'score': 0.9994996786117554}",416.0,"I will never patronize this place again they are nasty. Me and a coworker witness one of the cooks, drop the spatula on the floor and picked it up and continue to use it to cook with.  We asked him was he gonna clean it off and he ignored us and continue to work like he didn’t hear  us. Disgusting!!!"
416,"{'label': 'NEGATIVE', 'score': 0.974481999874115}","{'label': 'NEGATIVE', 'score': 0.9995099306106567}",417.0,"Not going to lie. The Entire Staff That Is On Shift Monday June 5th, 2023, At 6:30PM-7:00PM were DISGUSTINGLY RUDE AND INAPPROPRIATE. I’m calling cooperate. The staff refused to serve me and threaten to spit in my food."
417,"{'label': 'NEGATIVE', 'score': 0.9445720911026001}","{'label': 'NEGATIVE', 'score': 0.9994971752166748}",418.0,"I’d give a zero if possible. Never order from this chipotle, ever. I ordered twice in a row because the first time I got the wrong order completely (chicken bowl with all the wrong toppings instead of a veggie bowl. Reordered my veggie …"
418,"{'label': 'NEGATIVE', 'score': 0.9820844531059265}","{'label': 'NEGATIVE', 'score': 0.9995065927505493}",419.0,"I’ve been ordering from this location for the last 4 months hoping to get better quality, but yet the continue to disappoint As a former chipotle employee of 3 years, this chipotle location is a complete let down. When I ask for extra …"
419,"{'label': 'NEGATIVE', 'score': 0.9790793657302856}","{'label': 'NEGATIVE', 'score': 0.9995146989822388}",420.0,Standard Chipotle experience with fast service and overall clean atmosphere. Large lunch rush from local office buildings. Lots of to-go traffic.
420,"{'label': 'NEGATIVE', 'score': 0.9850216507911682}","{'label': 'POSITIVE', 'score': 0.9988677501678467}",421.0,"This is the only chipotle in the area but by far the worst chipotle I’ve been to. I’ve worked at chipotle in the past for 6 months, I understand how portions work and they give an insanely low amount of portions, less than what they’re …"
421,"{'label': 'POSITIVE', 'score': 0.9230855107307434}","{'label': 'NEGATIVE', 'score': 0.9995125532150269}",422.0,"Terrible customer service, when ordering online food is never ready when app indicates it is. Food is usually undercook. Would not recommend."
422,"{'label': 'POSITIVE', 'score': 0.8837777376174927}","{'label': 'NEGATIVE', 'score': 0.9995087385177612}",423.0,Worst chipotle ever.  Got 4 delivery orders in a row wrong.  Idiots.
423,"{'label': 'POSITIVE', 'score': 0.5428191423416138}","{'label': 'NEGATIVE', 'score': 0.9995030164718628}",424.0,This restaurant is so petty they threw a bag a me and I had to calm myself down so never go here
424,"{'label': 'POSITIVE', 'score': 0.9798741936683655}","{'label': 'NEGATIVE', 'score': 0.999505877494812}",425.0,Went here today and the nicest employee took my order. Then as i was eating maybe 15+ min later i overheard the manager harassing her about checking her phone for less than 5 seconds. I overheard them argue and she tried to send her home. …
425,"{'label': 'NEGATIVE', 'score': 0.7527860403060913}","{'label': 'NEGATIVE', 'score': 0.9995038509368896}",426.0,"Just had a horrible experience with a woman named Lucille, who said she was the manager. I shop here all the time and never had any issues. I was pointing through the glass at toppings that I wanted, and she, very rudely yelled, “can you …"
426,"{'label': 'POSITIVE', 'score': 0.9712576866149902}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}",427.0,I ordered a veggie bowl and the vegetables were burnt (not roasted) ....and the white rice was not cooked well. I had a bunch of raw rice grains in my bowl.
427,"{'label': 'POSITIVE', 'score': 0.9466591477394104}","{'label': 'NEGATIVE', 'score': 0.9994988441467285}",428.0,DISGUSTING location 525 Monroe. I could smell the rotting food before I even opened the bag and sure enough rotting dairy and guac that was almost black. It is very clear employees have zero concern for consumer safety. Absolutely filthy!!!
428,"{'label': 'NEGATIVE', 'score': 0.9826385974884033}","{'label': 'NEGATIVE', 'score': 0.9995079040527344}",429.0,"The staff is rude & portions low.
They reccomended going to other locations when i brought this up so I reccomend the same thing."
429,"{'label': 'NEGATIVE', 'score': 0.8988391757011414}","{'label': 'NEGATIVE', 'score': 0.999503493309021}",430.0,Service is super quick but because of it can be rude or just not helpful. Food was good
430,"{'label': 'POSITIVE', 'score': 0.903152346611023}","{'label': 'POSITIVE', 'score': 0.9961745738983154}",431.0,"How can it be that hard to get a 2 person order correct?  Made 3 orders from here in 6 months, 2 were badly wrong.  First one had everything basically wrong.  Today, ordered a steak burrito with extra steak and got no steak at all on the …"
431,"{'label': 'POSITIVE', 'score': 0.913180947303772}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}",432.0,Great Chipotle location. The staff moves quick through the downtown lunch rush. As a Chipotle connoisseur I can say with confidence that location has the best steak. They season it well!
432,"{'label': 'POSITIVE', 'score': 0.9889498353004456}","{'label': 'POSITIVE', 'score': 0.9989193677902222}",433.0,"Good food, great price. Let's come to test."
433,"{'label': 'POSITIVE', 'score': 0.9491212368011475}","{'label': 'POSITIVE', 'score': 0.9988934397697449}",434.0,"Ordered their new plant based chorizo for delivery, and was instead given chicken. As a vegan, this is unacceptable. I called and asked for them to correct the order, and they said they couldn't deliver it since it was delivered by a third …"
434,"{'label': 'NEGATIVE', 'score': 0.9894077777862549}","{'label': 'NEGATIVE', 'score': 0.9995013475418091}",435.0,I’ve been here maybe two dozen times and been to plenty of other Chipotle locations. This location is horrendous about skimping on the portions compared to others. Avoid mobile ordering at all costs. I think everyone that works here is a 90 lb teenager that doesn’t understand what a normal portion from Chipotle looks like.
435,"{'label': 'NEGATIVE', 'score': 0.9879716038703918}","{'label': 'NEGATIVE', 'score': 0.999506950378418}",436.0,"Worst location in Chicago. I go to chipotle regularly and this location always skimps on portions, try to move faster than their brains work, and don’t know basic manners. How many people does it take to make a burrito bowl? Truly awful"
436,"{'label': 'NEGATIVE', 'score': 0.9452680349349976}","{'label': 'NEGATIVE', 'score': 0.9995115995407104}",437.0,"My burrito was all tortilla and they didn’t even put sofritas, don’t get this chipotle"
437,"{'label': 'NEGATIVE', 'score': 0.988346517086029}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}",438.0,Met expectations.  Great service and  clean.  Definitely would go back.
438,"{'label': 'NEGATIVE', 'score': 0.9904400110244751}","{'label': 'POSITIVE', 'score': 0.9989074468612671}",439.0,I love everything here! The burritos and salads are my favorite!!! & there’s always leftovers for later. Thanks for great service.
439,"{'label': 'POSITIVE', 'score': 0.9070963859558105}","{'label': 'POSITIVE', 'score': 0.998914361000061}",440.0,Not friendly attitudes. Doesn’t have good customer service. They don’t say thank you. And Food had onions in it I did not order and beans using same utensils
440,"{'label': 'NEGATIVE', 'score': 0.9767722487449646}","{'label': 'NEGATIVE', 'score': 0.9995027780532837}",441.0,Last time I came here had the worst experience went on a 6 month boycott finally broke down and came back. Once again the experience was horrible why can they not fill the bottom of the bowl. If that is the correct amount then change the …
441,"{'label': 'NEGATIVE', 'score': 0.9814729690551758}","{'label': 'NEGATIVE', 'score': 0.9995107650756836}",442.0,Food was excellent with the exception of the steak being over cooked. The restaurant was clean. The staff was constantly cleaning the floor. They checked to make sure that I was satisfied with my purchase.
442,"{'label': 'NEGATIVE', 'score': 0.7939783930778503}","{'label': 'POSITIVE', 'score': 0.9988052845001221}",443.0,"This particular location is subpar in both service and quality of food. Chipotle in general is good at different locations, except this one! They literally served me and 4 other individuals cold food. When we brought it back to them within …"
443,"{'label': 'NEGATIVE', 'score': 0.9783433079719543}","{'label': 'NEGATIVE', 'score': 0.9995102882385254}",444.0,"What's great about this place is their speed, quality and consistency. Few fast food places can come close. They have mastered the good/fast/cheap balance. Now they just need a better line management process so people don't clog the turnstile waiting. The order in advance helps a lot with that."
444,"{'label': 'POSITIVE', 'score': 0.9851367473602295}","{'label': 'POSITIVE', 'score': 0.99885094165802}",445.0,Always the skimpiest portions. Like thanks for the 5 shreds of lettuce…
445,"{'label': 'NEGATIVE', 'score': 0.9889633655548096}","{'label': 'NEGATIVE', 'score': 0.9994582533836365}",446.0,I am a loyal Chipotle fan & I absolutely LOVE the food. The service is extremely fast. I like to go here because it's fast & affordable. The portion sizes are HUGE and it's enough to feed two people. Love the atmosphere and the music. I'm never disappointed when I come here.
446,"{'label': 'POSITIVE', 'score': 0.991637647151947}","{'label': 'POSITIVE', 'score': 0.9989380240440369}",447.0,Great food!!!! Great service… management needs to make sure all employees are working and not on their phones during the rush. Employees should take the phone call off the line!!! No tik toks where customers can see you👎🤦🏾‍♀️ …
447,"{'label': 'NEGATIVE', 'score': 0.9675396084785461}","{'label': 'POSITIVE', 'score': 0.9985690116882324}",448.0,"I love this Chipotle!  Food is always fresh!  Staff is always great, particularly Juanita!  Throughout my pregnancy,  I've been eating Chipotle.  She always checked in on how me and the baby were doing. Made me feel welcomed and special =)"
448,"{'label': 'POSITIVE', 'score': 0.9728646278381348}","{'label': 'POSITIVE', 'score': 0.9989326596260071}",449.0,"Did an online order & Order was all wrong , they remade it & got it wrong a 2nd time! Chips were stale & guacamole was old. Absolutely won't be back to that location."
449,"{'label': 'POSITIVE', 'score': 0.9855140447616577}","{'label': 'NEGATIVE', 'score': 0.9995076656341553}",450.0,"Love this location, food, and service here. The professionals here are excellent. …"
450,"{'label': 'POSITIVE', 'score': 0.9833475947380066}","{'label': 'POSITIVE', 'score': 0.998931348323822}",451.0,"Service was great, but holy sweet Jesus the food was bad. I’ve only been to chipotle a few times before this, and every other time the food has been pretty good. There was a literal TWIG in my burrito. Why? How? I don’t even want to know. …"
451,"{'label': 'POSITIVE', 'score': 0.9789286255836487}","{'label': 'NEGATIVE', 'score': 0.9995050430297852}",452.0,"This place is good, however for someone who used to work for chipotle I don't feel the 13 characteristics. I feel that the some workers there don't even want to be there. No greeting, no enthusiasm.  I get it, probably didn't have a good …"
